Train,Valid,Test
8.99600e-02,8.20000e-02,8.88000e-02
6.57600e-02,5.91000e-02,6.65000e-02
4.97200e-02,4.57000e-02,5.09000e-02
4.00200e-02,3.89000e-02,4.36000e-02
3.26400e-02,3.50000e-02,3.78000e-02
2.76800e-02,3.12000e-02,3.43000e-02
2.37000e-02,2.92000e-02,3.17000e-02
2.03000e-02,2.79000e-02,2.90000e-02
1.79600e-02,2.69000e-02,2.75000e-02
1.60400e-02,2.63000e-02,2.62000e-02
1.42800e-02,2.51000e-02,2.57000e-02
1.25000e-02,2.50000e-02,2.51000e-02
1.07600e-02,2.44000e-02,2.48000e-02
9.34000e-03,2.40000e-02,2.38000e-02
8.14000e-03,2.34000e-02,2.35000e-02
7.18000e-03,2.29000e-02,2.34000e-02
5.98000e-03,2.26000e-02,2.32000e-02
5.42000e-03,2.21000e-02,2.29000e-02
4.54000e-03,2.22000e-02,2.24000e-02
3.84000e-03,2.21000e-02,2.23000e-02
3.40000e-03,2.19000e-02,2.21000e-02
2.98000e-03,2.18000e-02,2.20000e-02
2.58000e-03,2.17000e-02,2.18000e-02
2.34000e-03,2.17000e-02,2.18000e-02
2.04000e-03,2.15000e-02,2.16000e-02
1.84000e-03,2.18000e-02,2.13000e-02
1.50000e-03,2.18000e-02,2.10000e-02
1.32000e-03,2.20000e-02,2.10000e-02
1.18000e-03,2.19000e-02,2.09000e-02
1.08000e-03,2.18000e-02,2.08000e-02
9.40000e-04,2.12000e-02,2.07000e-02
8.80000e-04,2.12000e-02,2.08000e-02
8.40000e-04,2.09000e-02,2.07000e-02
7.80000e-04,2.10000e-02,2.07000e-02
6.60000e-04,2.10000e-02,2.04000e-02
5.80000e-04,2.07000e-02,2.04000e-02
5.60000e-04,2.06000e-02,2.02000e-02
4.80000e-04,2.02000e-02,1.99000e-02
4.20000e-04,2.01000e-02,1.99000e-02
4.20000e-04,1.99000e-02,1.98000e-02
4.00000e-04,1.99000e-02,1.97000e-02
3.40000e-04,2.00000e-02,1.96000e-02
3.40000e-04,1.99000e-02,1.95000e-02
3.20000e-04,1.98000e-02,1.93000e-02
3.00000e-04,1.98000e-02,1.92000e-02
3.00000e-04,1.98000e-02,1.92000e-02
2.60000e-04,1.96000e-02,1.92000e-02
1.80000e-04,1.95000e-02,1.93000e-02
1.60000e-04,1.97000e-02,1.93000e-02
1.40000e-04,1.97000e-02,1.93000e-02
1.40000e-04,1.97000e-02,1.92000e-02
1.40000e-04,1.97000e-02,1.91000e-02
1.40000e-04,1.97000e-02,1.91000e-02
1.40000e-04,1.97000e-02,1.90000e-02
1.40000e-04,1.97000e-02,1.90000e-02
1.40000e-04,1.98000e-02,1.88000e-02
1.40000e-04,1.96000e-02,1.87000e-02
1.40000e-04,1.96000e-02,1.86000e-02
1.40000e-04,1.96000e-02,1.84000e-02
1.40000e-04,1.96000e-02,1.84000e-02
1.40000e-04,1.95000e-02,1.84000e-02
1.40000e-04,1.95000e-02,1.84000e-02
1.40000e-04,1.93000e-02,1.84000e-02
1.40000e-04,1.94000e-02,1.84000e-02
1.40000e-04,1.94000e-02,1.86000e-02
1.40000e-04,1.94000e-02,1.84000e-02
1.00000e-04,1.94000e-02,1.84000e-02
1.00000e-04,1.94000e-02,1.84000e-02
1.00000e-04,1.94000e-02,1.84000e-02
1.00000e-04,1.92000e-02,1.84000e-02
8.00000e-05,1.92000e-02,1.83000e-02
6.00000e-05,1.91000e-02,1.82000e-02
