Train,Valid,Test
3.02278e-01,2.82486e-01,2.96241e-01
2.24613e-01,2.15736e-01,2.25066e-01
1.70101e-01,1.70023e-01,1.75767e-01
1.35248e-01,1.42749e-01,1.46227e-01
1.12103e-01,1.25676e-01,1.27642e-01
9.53067e-02,1.13808e-01,1.14638e-01
8.22665e-02,1.04959e-01,1.04929e-01
7.18112e-02,9.81656e-02,9.75820e-02
6.32811e-02,9.29052e-02,9.20181e-02
5.62280e-02,8.88178e-02,8.77897e-02
5.02956e-02,8.55926e-02,8.45131e-02
4.52038e-02,8.29735e-02,8.18779e-02
4.07732e-02,8.07973e-02,7.96835e-02
3.68929e-02,7.89691e-02,7.78148e-02
3.34853e-02,7.74274e-02,7.62021e-02
3.04876e-02,7.61247e-02,7.47961e-02
2.78449e-02,7.50207e-02,7.35568e-02
2.55120e-02,7.40833e-02,7.24527e-02
2.34530e-02,7.32883e-02,7.14609e-02
2.16387e-02,7.26187e-02,7.05668e-02
2.00435e-02,7.20618e-02,6.97626e-02
1.86430e-02,7.16050e-02,6.90441e-02
1.74129e-02,7.12334e-02,6.84060e-02
1.63292e-02,7.09301e-02,6.78398e-02
1.53705e-02,7.06789e-02,6.73350e-02
1.45181e-02,7.04661e-02,6.68813e-02
1.37570e-02,7.02808e-02,6.64696e-02
1.30748e-02,7.01148e-02,6.60928e-02
1.24616e-02,6.99624e-02,6.57454e-02
1.19088e-02,6.98191e-02,6.54235e-02
1.14091e-02,6.96821e-02,6.51240e-02
1.09564e-02,6.95490e-02,6.48441e-02
1.05451e-02,6.94185e-02,6.45812e-02
1.01707e-02,6.92898e-02,6.43331e-02
9.82924e-03,6.91624e-02,6.40976e-02
9.51721e-03,6.90362e-02,6.38730e-02
9.23168e-03,6.89111e-02,6.36581e-02
8.97004e-03,6.87873e-02,6.34520e-02
8.72998e-03,6.86648e-02,6.32538e-02
8.50944e-03,6.85438e-02,6.30630e-02
8.30658e-03,6.84245e-02,6.28792e-02
8.11973e-03,6.83069e-02,6.27020e-02
7.94740e-03,6.81912e-02,6.25309e-02
7.78826e-03,6.80775e-02,6.23657e-02
7.64111e-03,6.79658e-02,6.22059e-02
7.50487e-03,6.78562e-02,6.20512e-02
7.37857e-03,6.77487e-02,6.19013e-02
7.26134e-03,6.76432e-02,6.17558e-02
7.15240e-03,6.75397e-02,6.16144e-02
7.05103e-03,6.74383e-02,6.14770e-02
6.95660e-03,6.73388e-02,6.13433e-02
6.86853e-03,6.72412e-02,6.12131e-02
6.78630e-03,6.71455e-02,6.10861e-02
6.70943e-03,6.70517e-02,6.09622e-02
6.63750e-03,6.69596e-02,6.08413e-02
6.57011e-03,6.68693e-02,6.07231e-02
6.50692e-03,6.67806e-02,6.06076e-02
6.44759e-03,6.66937e-02,6.04946e-02
6.39182e-03,6.66083e-02,6.03840e-02
6.33936e-03,6.65246e-02,6.02757e-02
6.28995e-03,6.64423e-02,6.01696e-02
6.24336e-03,6.63616e-02,6.00656e-02
6.19939e-03,6.62824e-02,5.99636e-02
6.15785e-03,6.62046e-02,5.98636e-02
6.11857e-03,6.61282e-02,5.97654e-02
6.08138e-03,6.60532e-02,5.96689e-02
6.04613e-03,6.59796e-02,5.95742e-02
6.01269e-03,6.59072e-02,5.94811e-02
5.98093e-03,6.58361e-02,5.93897e-02
5.95074e-03,6.57663e-02,5.92997e-02
5.92201e-03,6.56977e-02,5.92113e-02
5.89465e-03,6.56303e-02,5.91242e-02
